id,name__v,country__v.name__v,ownerid__v.name__v,primary_parent__v.name__v
V4T000000002001,Tech Hub,,Erzsébet Kámán (veeva.com),London Shopping Centre
V4T000000002002,Fashion Point,,Erzsébet Kámán (veeva.com),London Shopping Centre
V4T000000002003,Gadget World,,Erzsébet Kámán (veeva.com),London Shopping Centre
V4T000000002004,Home Essentials,,Erzsébet Kámán (veeva.com),London Shopping Centre
V4T000000002005,Book Haven,,Erzsébet Kámán (veeva.com),Manchester Plaza
V4T000000002006,Toy Universe,,Erzsébet Kámán (veeva.com),Manchester Plaza
V4T000000002007,Sports Gear,,Erzsébet Kámán (veeva.com),Manchester Plaza
V4T000000002008,Home Decor,,Erzsébet Kámán (veeva.com),Manchester Plaza
V4T000000002009,Gadget Store,,Erzsébet Kámán (veeva.com),Birmingham Mall
V4T000000002010,Luxury Watches,,Erzsébet Kámán (veeva.com),Birmingham Mall
V4T000000002011,Sneaker Heaven,,Erzsébet Kámán (veeva.com),Birmingham Mall
V4T000000002012,Furniture World,,Erzsébet Kámán (veeva.com),Birmingham Mall
V4T000000002013,Perfume Boutique,,Erzsébet Kámán (veeva.com),Edinburgh Arcade
V4T000000002014,Smartphones & More,,Erzsébet Kámán (veeva.com),Edinburgh Arcade
V4T000000002015,Jewelry & Accessories,,Erzsébet Kámán (veeva.com),Edinburgh Arcade
V4T000000002016,Gaming Zone,,Erzsébet Kámán (veeva.com),Edinburgh Arcade
V4T000000002017,Outdoor Gear,,Erzsébet Kámán (veeva.com),Glasgow Galleria
V4T000000002018,Designer Outfits,,Erzsébet Kámán (veeva.com),Glasgow Galleria
V4T000000002019,Beauty Supplies,,Erzsébet Kámán (veeva.com),Glasgow Galleria
V4T000000002020,Organic Market,,Erzsébet Kámán (veeva.com),Glasgow Galleria
V4T000000002021,Electronics Hub,,Erzsébet Kámán (veeva.com),Bristol Emporium
V4T000000002022,Fine Dining,,Erzsébet Kámán (veeva.com),Bristol Emporium
V4T000000002023,Fashion Accessories,,Erzsébet Kámán (veeva.com),Bristol Emporium
V4T000000002024,Sports Arena,,Erzsébet Kámán (veeva.com),Bristol Emporium
V4T000000002025,Bookstore Central,,Erzsébet Kámán (veeva.com),Leeds Retail Park
V4T000000002026,Bags & Luggage,,Erzsébet Kámán (veeva.com),Leeds Retail Park
V4T000000002027,Café Delight,,Erzsébet Kámán (veeva.com),Leeds Retail Park
V4T000000002028,Home & Living,,Erzsébet Kámán (veeva.com),Leeds Retail Park
V4T000000002029,Music World,,Erzsébet Kámán (veeva.com),Leeds Retail Park
V4T000000002030,Pet Store,,Erzsébet Kámán (veeva.com),Leeds Retail Park
V4T000000002031,Vintage Fashion,,Erzsébet Kámán (veeva.com),London Shopping Centre
V4T000000002032,Fitness & Gym,,Erzsébet Kámán (veeva.com),London Shopping Centre
V4T000000002033,Toyland Express,,Erzsébet Kámán (veeva.com),Manchester Plaza
V4T000000002034,Watch Boutique,,Erzsébet Kámán (veeva.com),Manchester Plaza
V4T000000002035,Luxury Fragrances,,Erzsébet Kámán (veeva.com),Birmingham Mall
V4T000000002036,Outdoor Adventure,,Erzsébet Kámán (veeva.com),Birmingham Mall
V4T000000002037,Designer Footwear,,Erzsébet Kámán (veeva.com),Edinburgh Arcade
V4T000000002038,Culinary Delights,,Erzsébet Kámán (veeva.com),Edinburgh Arcade
V4T000000002039,Tech Innovations,,Erzsébet Kámán (veeva.com),Glasgow Galleria
V4T000000002040,Gaming Universe,,Erzsébet Kámán (veeva.com),Glasgow Galleria
V4T000000002041,Jewelry Emporium,,Erzsébet Kámán (veeva.com),Bristol Emporium
V4T000000002042,Organic Foods,,Erzsébet Kámán (veeva.com),Bristol Emporium
V4T000000002043,Homeware Haven,,Erzsébet Kámán (veeva.com),Leeds Retail Park
V4T000000002044,Artisan Crafts,,Erzsébet Kámán (veeva.com),Leeds Retail Park
V4T000000002045,Office Supplies,,Erzsébet Kámán (veeva.com),London Shopping Centre
V4T000000002046,Luxury Bags,,Erzsébet Kámán (veeva.com),Manchester Plaza
V4T000000002047,Fine Art Gallery,,Erzsébet Kámán (veeva.com),Birmingham Mall
V4T000000002048,Premium Spirits,,Erzsébet Kámán (veeva.com),Edinburgh Arcade
V4T000000002049,Handmade Jewelry,,Erzsébet Kámán (veeva.com),Glasgow Galleria
V4T000000002050,Gourmet Chocolates,,Erzsébet Kámán (veeva.com),Bristol Emporium
